resource_uri,skos_prefLabel_ja,skos_prefLabel_en,altLabel,homepage,description,identifier,ndlAuthoritiesID,viafID,wikidataID,twitterID,seeAlso,language,disambiguatingDescription,note,additionalType,startDate,endDate,address,latitude,longitude,relatedOrganization,member,logo,source
https://collection.rcgs.jp/resource/AGENT0003134,,Omaké books,,https://omakebooks.com/fr/,2010年、設立。,,,,,https://twitter.com/omakebooks,https://mediaarts-db.bunka.go.jp/id/C46623,http://id.loc.gov/vocabulary/iso639-2/eng|http://id.loc.gov/vocabulary/iso639-2/fra,,,企業,2010,,"58 Rue Pierre Brossolette, Châtillon, France",,,,,,https://omakebooks.com/en/content/4-about-us (accessed 2018-12-08)|https://collection.rcgs.jp/resource/PACKAGE0009134
https://collection.rcgs.jp/resource/AGENT0001514,,13AM Games Inc.,,http://www.13amgames.com,,,,,,https://twitter.com/13amgames,https://mediaarts-db.bunka.go.jp/id/C45585,http://id.loc.gov/vocabulary/iso639-2/eng,,,制作チーム,,,"Toronto, Canada",,,,,,http://www.13amgames.com (accessed 2019-09-27)|https://www.mobygames.com/company/13am-games (accessed 2019-09-27)|https://en.wikipedia.org/wiki/Runbow (accessed 2019-09-27)
https://collection.rcgs.jp/resource/AGENT0004019,任天堂企画制作本部,Nintendo Entertainment Planning & Development,,http://www.nintendo.co.jp/,2015年9月16日、任天堂内の情報開発本部(EAD)と企画開発本部(SPD)が2015年9月に統合されて設立。,,,,https://www.wikidata.org/entity/Q20972825,,https://ja.wikipedia.org/wiki/任天堂企画制作本部,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,2015-09-16,,京都市南区,,,https://collection.rcgs.jp/resource/AGENT0004018|https://collection.rcgs.jp/resource/AGENT0003924,,,https://en.wikipedia.org/wiki/Nintendo_Entertainment_Planning_%26_Development (accessed 2019-09-02)|http://www.nintendo.co.jp/ (accessed 2019-09-02)|https://ja.wikipedia.org/wiki/任天堂企画制作本部 (accessed 2019-09-02)
https://collection.rcgs.jp/resource/AGENT0003101,,Mattel Electronics,,,1977年、Mattelの子会社としてMattel Electronicsを設立。1984年、Mattel Electronicsを廃止。,,,,,,https://mediaarts-db.bunka.go.jp/id/C46590,http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,1977,1984,,,,,,,https://en.wikipedia.org/wiki/Mattel (accessed 2018-11-13)|https://www.mobygames.com/company/mattel-electronics (accessed 2018-11-13)
https://collection.rcgs.jp/resource/AGENT0004038,,NOISE,株式会社ノイズ,http://www.noise-games.com/,,,,,https://www.wikidata.org/entity/Q7047669,,https://ja.wikipedia.org/wiki/ノイズ_(ゲーム会社),http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,1996-09-02,,東京都港区芝公園2-9-1　芝マツオビル3F,,,,,,http://www.noise-games.com/ (accessed )
https://collection.rcgs.jp/resource/AGENT0003039,東海エンジニアリング株式会社,,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C46539,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0001541
https://collection.rcgs.jp/resource/AGENT0000003,SNKプレイモア,SNK PLAYMORE CORPORATION,株式会社SNKプレイモア,,2003年、「株式会社プレイモア」から「株式会社SNKプレイモア」へ商号変更。2016年、「SNKプレイモア」から「株式会社SNK」に商号変更。,,,,https://www.wikidata.org/entity/Q54148655,https://twitter.com/snkpofficial_jp,https://mediaarts-db.bunka.go.jp/id/C44671,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,2003,2016,大阪府吹田市豊津町14-12,,,https://collection.rcgs.jp/resource/AGENT0000896|https://collection.rcgs.jp/resource/AGENT0001558,,,https://collection.rcgs.jp/resource/PACKAGE0006153|https://ja.wikipedia.org/wiki/プレイモア (accessed 2018-10-25)|https://twitter.com/snkpofficial_jp (accessed 2018-10-25)
https://collection.rcgs.jp/resource/AGENT0003224,デーシーイー,K.K.DCE,株式会社デーシーイー,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C46706,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0009310
https://collection.rcgs.jp/resource/AGENT0002894,日本データワークス株式会社,Japan DataWorks Inc.,,,,,,,https://www.wikidata.org/entity/Q54150838,,https://mediaarts-db.bunka.go.jp/id/C46419,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,,,熊本県熊本市上水前寺1丁目6番54号,,,,,,https://www.mobygames.com/company/japan-dataworks-inc (accessed 2018-10-25)|https://collection.rcgs.jp/resource/PACKAGE0007383
https://collection.rcgs.jp/resource/AGENT0002983,ランバ・アミューズ,RaNBa amuse,株式会社ランバ・アミューズ,http://ranba.jp/,,,,,,,https://mediaarts-db.bunka.go.jp/id/C46485,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,2010-05-10,,福岡県福岡市早良区西新5－15－21アーサー西新ビル5階,,,https://collection.rcgs.jp/resource/AGENT0000283,,,http://ranba.jp/  (accessed 2018-10-25)|https://collection.rcgs.jp/resource/PACKAGE0009974
https://collection.rcgs.jp/resource/AGENT0001018,,Capcom Vancouver,"Capcom Game Studio Vancouver, Inc.|カプコン・ゲーム・スタジオ・バンクーバー, INC.",http://www.capcomvancouver.com/,2010年、Capcom Vancouverを設立。,,,https://viaf.org/viaf/142150557,https://www.wikidata.org/entity/Q866301,https://twitter.com/CapcomVancouver,https://en.wikipedia.org/wiki/Capcom_Vancouver|https://mediaarts-db.bunka.go.jp/id/C45165,http://id.loc.gov/vocabulary/iso639-2/jpn|http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,2010-08,,"Burnaby, British Columbia, Canada",,,https://collection.rcgs.jp/resource/AGENT0000013,,,https://en.wikipedia.org/wiki/Capcom_Vancouver (accessed 2018-10-25)|https://collection.rcgs.jp/resource/PACKAGE0007445|https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=33062098 (accessed 2018-12-15)|https://www.mobygames.com/company/capcom-game-studio-vancouver-inc (accessed 2018-12-15)|http://www.capcom.co.jp/ir/company/history.html?tab=3 (accessed 2018-12-15)
https://collection.rcgs.jp/resource/AGENT0000391,ショウエイシステム,Shouei System,株式会社ショウエイシステム,,1981年、有限会社昭栄として設立。1991年、株式会社ショウエイシステムに変更。1999年、廃止。,,,,https://www.wikidata.org/entity/Q11308116,,https://mediaarts-db.bunka.go.jp/id/C44879|https://ja.wikipedia.org/wiki/ショウエイシステム,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,1991,1999,,,,https://collection.rcgs.jp/resource/AGENT0000809,,,https://collection.rcgs.jp/resource/PACKAGE0001504|https://www.mobygames.com/company/shouei-system (accessed 2018-11-27)|https://ja.wikipedia.org/wiki/%E3%82%B7%E3%83%A7%E3%82%A6%E3%82%A8%E3%82%A4%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0 (accessed 2018-10-25)
https://collection.rcgs.jp/resource/AGENT0003900,,Traveller's Tales,,,1989年、Jon BurtonとAndy Ingramが設立。 ,,,,https://www.wikidata.org/entity/Q2568920,,https://mediaarts-db.bunka.go.jp/id/C47350|https://en.wikipedia.org/wiki/Traveller%27s_Tales,http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,1989,,"Knutsford, England",,,https://collection.rcgs.jp/resource/AGENT0003289,,,https://en.wikipedia.org/wiki/Traveller%27s_Tales (accessed 2019-08-29)
https://collection.rcgs.jp/resource/AGENT0001731,ビバリウム,Vivarium Inc.,Vivarium|株式会社ビバリウム,http://www.vivarium.jp,1996年、ビバリウム設立。2004年、ビバリウムとオープンブックが合併し、ビバリウムに商号変更する。2009年、子会社のオープンブックを吸収合併し、オープンブックに名称変更（廃止）,,,,https://www.wikidata.org/entity/Q7937557,,https://ja.wikipedia.org/wiki/ビバリウム|https://mediaarts-db.bunka.go.jp/id/C45771,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,1996-04-04,2009,東京都港区三田1-3-39勝田ビル6F,,,https://collection.rcgs.jp/resource/AGENT0002885,,,https://en.wikipedia.org/wiki/Vivarium_Inc. (accessed 2019-09-25)|https://www.mobygames.com/company/vivarium-inc (accessed 2019-09-25)|https://ja.wikipedia.org/wiki/ビバリウム (accessed 2018-10-25)|https://ja.wikipedia.org/wiki/斎藤由多加 (accessed 2019-09-25)|https://collection.rcgs.jp/resource/PACKAGE0015468
https://collection.rcgs.jp/resource/AGENT0003572,ゲーム学会事務局,,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C47026,http://id.loc.gov/vocabulary/iso639-2/jpn,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE001959
https://collection.rcgs.jp/resource/AGENT0000429,ティーアンドイーソフト,Technology and Entertainment Software,T&E SOFT Inc.|株式会社ティーアンドイーソフト,http://www.tandesoft.co.jp/,1982年、ティーアンドイーソフト設立。2002年、株式会社ディーワンダーランドに社名変更（廃止）。,,https://id.ndl.go.jp/auth/ndlna/00291845,https://viaf.org/viaf/124586351,https://www.wikidata.org/entity/Q3030624,,https://mediaarts-db.bunka.go.jp/id/C44905|https://ja.wikipedia.org/wiki/T%26E_SOFT,http://id.loc.gov/vocabulary/iso639-2/jpn,,,企業,1982-10,2002-05-01,愛知県名古屋市名東区照が丘10,,,https://collection.rcgs.jp/resource/AGENT0000854|https://collection.rcgs.jp/resource/AGENT0000853|https://collection.rcgs.jp/resource/AGENT0003159,,,http://www.tandesoft.co.jp/ (Invalid) (accessed 2018-10-25)|https://collection.rcgs.jp/resource/PACKAGE0002716|https://collection.rcgs.jp/resource/PACKAGE0005095|https://ja.wikipedia.org/wiki/T&E SOFT (accessed 2018-10-25)
https://collection.rcgs.jp/resource/AGENT0002069,,Bally Midway,Bally Midway Mfg. Co.|バリー・ミッドウェイ,,"1982年、BallyとMidwayのピンボール部が合併し、Bally Midway Mfg. Co.になる。1988年、Bally Data Systems, Inc.に社名変更。",,,,https://www.wikidata.org/entity/Q17189800,,https://mediaarts-db.bunka.go.jp/id/C46068,http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,1982-02-02,1988-10-25,,,,https://collection.rcgs.jp/resource/AGENT0002056|https://collection.rcgs.jp/resource/AGENT0001979,,,https://www.mobygames.com/company/bally-data-systems-inc (accessed 2018-12-12)|https://ja.wikipedia.org/wiki/ミッドウェイゲームズ (accessed 2018-12-12)
https://collection.rcgs.jp/resource/AGENT0001795,エレクトロニック・アーツ株式会社,Electronic Arts K.K.,,https://www.ea.com/ja-jp,1998年、スクウェアと合弁でエレクトロニック・アーツ・スクウェアが設立。2003年3月、スクウェアとの合弁し、エレクトロニック・アーツ株式会社に商号変更。,,,,https://www.wikidata.org/entity/Q54149963,,https://ja.wikipedia.org/wiki/エレクトロニック・アーツ|https://mediaarts-db.bunka.go.jp/id/C45826,http://id.loc.gov/vocabulary/iso639-2/jpn|http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,2003-03,,東京都新宿区西新宿4丁目33番4号住友不動産西新宿ビル4号館7階,,,https://collection.rcgs.jp/resource/AGENT0000300|https://collection.rcgs.jp/resource/AGENT0000099|https://collection.rcgs.jp/resource/AGENT0002980,,,https://ja.wikipedia.org/wiki/エレクトロニック・アーツ (accessed 2018-10-25)|https://collection.rcgs.jp/resource/PACKAGE0009765|https://www.mobygames.com/company/electronic-arts-kk (accessed 2018-10-25)
https://collection.rcgs.jp/resource/AGENT0001977,ユウビス,,株式会社ユウビス,http://www.yubis.co.jp/,,,,,https://www.wikidata.org/entity/Q11345551,,https://ja.wikipedia.org/wiki/ユウビス|https://mediaarts-db.bunka.go.jp/id/C45988,,,,,1973-12-17,,大阪府東大阪市川俣本町11-10,,,,,,https://ja.wikipedia.org/wiki/ユウビス (accessed 2018-10-25)
https://collection.rcgs.jp/resource/AGENT0004065,,Exakt Entertainment,"EXAKT Entertainment, Inc.",,1999年、設立。,,,,https://www.wikidata.org/entity/Q5419253,,https://en.wikipedia.org/wiki/Exakt_Entertainment,http://id.loc.gov/vocabulary/iso639-2/eng,,,企業,1999,,"Los Angeles, California, United States",,,,,,https://www.mobygames.com/company/exakt-entertainment-inc (accessed 2019-09-25)|https://en.wikipedia.org/wiki/Exakt_Entertainment (accessed 2019-09-25)
