resource_uri,prefLabel_ja,prefLabel_en,altLabel,homepage,description,identifier,ndlAuthoritiesID,viafID,wikidataID,twitterID,seeAlso,language,disambiguatingDescription,note,hasOccupation,birthDate,deathDate,birthPlace,deathPlace,homeLocation,mbox,addressCountry,additionalName,title,source
https://collection.rcgs.jp/resource/AGENT0004847,"住吉, 伸啓","SUMIYOSHI, Nobuhiro",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,70116",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,70116/ (accessed 2019-11-06)|https://collection.rcgs.jp/resource/VARIATION0027305"
https://collection.rcgs.jp/resource/AGENT0005267,,"KOZUKI, Asako ",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,173065",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,173065/ (accessed 2019-11-13)"
https://collection.rcgs.jp/resource/AGENT0005070,"西辻, 朝枝","NISHITSUJI, Asae",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,148721",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,148721/ (accessed 2019-11-12)"
https://collection.rcgs.jp/resource/AGENT0005737,"三浦, 昌幸","MIURA, Masayuki",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,99887",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0004813|https://www.mobygames.com/developer/sheet/view/developerId,99887/ (accessed 2019-12-16)"
https://collection.rcgs.jp/resource/AGENT0005703,"熊谷, 慎太郎","KUMAGAI, Shintaro",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,459813",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0000932|https://www.mobygames.com/developer/sheet/view/developerId,459813/ (accessed 2019-12-16)|https://ja.wikipedia.org/wiki/ダブルドラゴン_(1987年のゲーム) (accessed 2019-12-16)"
https://collection.rcgs.jp/resource/AGENT0006388,花岡拓也,,,,,,,,https://www.wikidata.org/entity/Q11615319,,https://ja.wikipedia.org/wiki/花岡拓也,,,,作曲家,1970,,長野県,,,,,,,"https://www.wikidata.org/entity/Q11615319 (accessed 2020-08-28)|https://ja.wikipedia.org/wiki/花岡拓也 (accessed 2020-02-19)|https://collection.rcgs.jp/resource/VARIATION0008516|https://www.mobygames.com/developer/sheet/view/developerId,37192/ (accessed 2020-02-19)"
https://collection.rcgs.jp/resource/AGENT0004730,"丸子, 良太","MARUKO, Ryota",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,430312",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,430312/ (accessed 2019-10-23)|http://kyoto-report.wikidot.com/ryota-maruko (accessed 2019-10-23)|https://collection.rcgs.jp/resource/VARIATION0027215"
https://collection.rcgs.jp/resource/AGENT0003428,"平塚, 憲晴",,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C46889,,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0009035
https://collection.rcgs.jp/resource/AGENT0005408,,"HUGOT, Michaël",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,189902",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,189902/ (accessed 2019-11-19)|https://collection.rcgs.jp/resource/VARIATION0027305"
https://collection.rcgs.jp/resource/AGENT0003639,"小林, 雄一郎",,,,,,,,,,https://mediaarts-db.bunka.go.jp/id/C47093,,,,,,,,,,,,,,https://collection.rcgs.jp/resource/PACKAGE0019383
https://collection.rcgs.jp/resource/AGENT0004840,,Hélène Bisson-Pelland,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,465446",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,465446/ (accessed 2019-11-06)|https://collection.rcgs.jp/resource/VARIATION0024235"
https://collection.rcgs.jp/resource/AGENT0006212,,Petra Becker,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,255226",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0022895|https://www.mobygames.com/developer/sheet/view/developerId,255226/ (accessed 2020-02-07)"
https://collection.rcgs.jp/resource/AGENT0003512,田村秀行,Hideyuki Tamura,大伴茫人,,,,https://id.ndl.go.jp/auth/ndlna/00192195,https://viaf.org/viaf/255430498,https://www.wikidata.org/entity/Q11576981,,https://ja.wikipedia.org/wiki/田村秀行|https://mediaarts-db.bunka.go.jp/id/C46966,,,,,1952,,,,,,JP,,,https://www.wikidata.org/entity/Q11576981 (accessed 2020-08-28)|https://collection.rcgs.jp/resource/PACKAGE0019236
https://collection.rcgs.jp/resource/AGENT0005905,"矢田, 裕人","YADA, Hiroto",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,55588",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,55588/ (accessed 2020-01-14)|https://collection.rcgs.jp/resource/VARIATION0010277"
https://collection.rcgs.jp/resource/AGENT0005642,,"MURAKAMI, Shingo",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,38912",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0007690|https://www.mobygames.com/developer/sheet/view/developerId,38912/ (accessed 2019-12-10)"
https://collection.rcgs.jp/resource/AGENT0004732,,"HAYAKAWA, Kenzo",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,522985",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0027215|https://www.mobygames.com/developer/sheet/view/developerId,522985/ (accessed 2019-10-28)"
https://collection.rcgs.jp/resource/AGENT0006167,"金井, 誠","KANAI, Makoto",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,50678",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/VARIATION0002729|https://www.mobygames.com/developer/sheet/view/developerId,50678/ (accessed 2020-02-05)"
https://collection.rcgs.jp/resource/AGENT0004530,,Elliott Martin,Elliot Martin,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,86343",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/PACKAGE0010431|https://www.mobygames.com/developer/sheet/view/developerId,86343/ (accessed 2019-10-16)"
https://collection.rcgs.jp/resource/AGENT0004716,竹内高,,,,,,,,https://www.wikidata.org/entity/Q56348353,https://twitter.com/Kosan_Takeuchi,https://ja.wikipedia.org/wiki/竹内高,,,,,1970,,高知県,,,,JP,,,https://collection.rcgs.jp/resource/VARIATION0010685|https://ja.wikipedia.org/wiki/竹内高 (accessed 2019-10-23)|https://www.wikidata.org/entity/Q56348353 (accessed 2020-08-28)|http://kyoto-report.wikidot.com/ko-takeuchi (accessed 2019-10-23)
https://collection.rcgs.jp/resource/AGENT0004511,,"UEDA, Kenshirō ",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,522981",,,,,,,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,522981/ (accessed 2019-10-16)|https://collection.rcgs.jp/resource/PACKAGE0006227"
https://collection.rcgs.jp/resource/AGENT0004532,"石上, 悟","ISHIGAMI, Satoru",,,,,,,,,"https://www.mobygames.com/developer/sheet/view/developerId,66458",,,,,,,,,,,,,,"https://collection.rcgs.jp/resource/PACKAGE0010431|https://www.mobygames.com/developer/sheet/view/developerId,66458/ (accessed 2019-10-16)"
