resource_uri,exemplarOf,identifier,spatial,owns,holdingAgent
https://collection.rcgs.jp/resource/ITEM0014634,,RCGSa0005980|S17532,V14,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0007360,https://collection.rcgs.jp/resource/PACKAGE0007769,S10744|RCGSa0011964,D49,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0016841,,RCGSa0018254,P4.E39,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0021569,https://collection.rcgs.jp/resource/PACKAGE0010112,RCGSa0023164,D117,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0010728,https://collection.rcgs.jp/resource/PACKAGE0004870,S13857|RCGSa0015624,C152,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001228,https://collection.rcgs.jp/resource/PACKAGE0001139,RCGSa0001227|S4835,C97,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0010594,https://collection.rcgs.jp/resource/PACKAGE0009593,S13726|RCGSa0015432,C149,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0021088,https://collection.rcgs.jp/resource/PACKAGE0023779,RCGSa0022583,C197,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0020211,,RCGSa0021828,A198.E98,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0004498,https://collection.rcgs.jp/resource/PACKAGE0007538,S8030|RCGSa0006702,A70,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0003273,https://collection.rcgs.jp/resource/PACKAGE0002298,S6834|RCGSa0003278,C48,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0000807,https://collection.rcgs.jp/resource/PACKAGE0004589,S4420|RCGSa0000808,A25,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0019904,,RCGSa0021532,A72,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0002814,https://collection.rcgs.jp/resource/PACKAGE0003632,RCGSa0002819|S6378,C35,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0000260,https://collection.rcgs.jp/resource/PACKAGE0001641,S3873|RCGSa0000262,A4,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0017556,,RCGSa0018803,21,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0013060,,S15712|RCGSa0016989,18,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0003758,https://collection.rcgs.jp/resource/PACKAGE0002395,RCGSa0003764|S7311,A211,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0003892,https://collection.rcgs.jp/resource/PACKAGE0005453,RCGSa0003898|S7444,D6,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0007297,https://collection.rcgs.jp/resource/PACKAGE0005332,S10628|RCGSa0011491,D45,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0011219,https://collection.rcgs.jp/resource/PACKAGE0015450,E-lb-375|S14308|RCGSa0020914,C163,https://collection.rcgs.jp/resource/AGENT0002935,
https://collection.rcgs.jp/resource/ITEM0008187,https://collection.rcgs.jp/resource/PACKAGE0008610,S11746|RCGSa0012863,C132,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0007571,https://collection.rcgs.jp/resource/PACKAGE0005710,S11101|RCGSa0012192,D55,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0013339,,S16157|RCGSa0013572,40,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0010504,https://collection.rcgs.jp/resource/PACKAGE0005646,RCGSa0015353|S13636,D96,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0019683,,RCGSa0021362,A134.E74,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0011660,,S14547|RCGSa0006026,V73,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0002391,https://collection.rcgs.jp/resource/PACKAGE0002533,RCGSa0002395|S5960,C8,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0017605,,RCGSa0019679,21,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0003575,https://collection.rcgs.jp/resource/PACKAGE0002292,RCGSa0003581|S7134,C57,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0020724,,RCGSa0022335,D112.E106,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0000229,https://collection.rcgs.jp/resource/PACKAGE0001617,S3826|RCGSa0000230,A3,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0014198,,S17011|RCGSa0016268,V215,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0006149,https://collection.rcgs.jp/resource/PACKAGE0006743,S9415|RCGSa0010155,C178,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0019438,,RCGSa0021136,A187,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0018925,,RCGSa0019280,P15,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0007108,https://collection.rcgs.jp/resource/PACKAGE0005452,RCGSa0011276|S10365,D38,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0010956,https://collection.rcgs.jp/resource/PACKAGE0009317,E-lb-138|RCGSa0020323|S14058,A137,https://collection.rcgs.jp/resource/AGENT0002935,
https://collection.rcgs.jp/resource/ITEM0009266,,S17301|RCGSa0014120,23,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0014659,,S17556|RCGSa0016209,13,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0008171,https://collection.rcgs.jp/resource/PACKAGE0008626,S11760|RCGSa0012837,D68,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0007941,https://collection.rcgs.jp/resource/PACKAGE0001640,S11476|RCGSa0012579,D100,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0020764,,RCGSa0015719,2,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0000293,https://collection.rcgs.jp/resource/PACKAGE0000601,RCGSa0000294|S3908,C85,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0020320,,RCGSa0021868,D110,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0011793,,S14662|RCGSa0004700,V92,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0014435,,S17336|RCGSa0005668,V30,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0004155,https://collection.rcgs.jp/resource/PACKAGE0006811,RCGSa0004252|S7707,A76,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0016309,,RCGSa0006441|S18777,7,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0013730,,S16544|RCGSa0006791,7,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0002830,https://collection.rcgs.jp/resource/PACKAGE0003785,RCGSa0002835|S6394,C34,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0005579,https://collection.rcgs.jp/resource/PACKAGE0006790,S8996|RCGSa0009570,A64,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0002046,https://collection.rcgs.jp/resource/PACKAGE0000114,RCGSa0002047|S5619,A27,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0003681,https://collection.rcgs.jp/resource/PACKAGE0002440,S7236|RCGSa0003687,C62,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0017935,,RCGSa0019491,20,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0018488,https://collection.rcgs.jp/resource/PACKAGE0021297,RCGSa0020935,A76,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0019881,,RCGSa0021508,A72,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0017211,https://collection.rcgs.jp/resource/PACKAGE0010474,E-lb-487|RCGSa0020439,D106,https://collection.rcgs.jp/resource/AGENT0002935,
https://collection.rcgs.jp/resource/ITEM0013659,,RCGSa0016141|S16473,24,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0000119,https://collection.rcgs.jp/resource/PACKAGE0001608,S3612|RCGSa0000120,A4,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0016680,,RCGSa0017881,P2.E23,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0009751,https://collection.rcgs.jp/resource/PACKAGE0009969,RCGSa0014402|S12975,D86,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001111,https://collection.rcgs.jp/resource/PACKAGE0004963,RCGSa0001110|S4719,A36,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0005519,https://collection.rcgs.jp/resource/PACKAGE0006566,S8917|RCGSa0009509,C182,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0017413,,RCGSa0018525,P11.E45,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0018041,,RCGSa0019751,A134.E55,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001690,https://collection.rcgs.jp/resource/PACKAGE0004828,RCGSa0001691|S5269,C74,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0017503,https://collection.rcgs.jp/resource/PACKAGE0020631,RCGSa0018681,A176,https://collection.rcgs.jp/resource/AGENT0002935,
https://collection.rcgs.jp/resource/ITEM0011429,https://collection.rcgs.jp/resource/PACKAGE0018028,RCGSa0017086|S15773,A36,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0013894,,S16707|RCGSa0004362,V63,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0005294,https://collection.rcgs.jp/resource/PACKAGE0001761,S8603|RCGSa0009273,A89,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0004191,https://collection.rcgs.jp/resource/PACKAGE0007577,RCGSa0019764|S7743,C166,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001219,https://collection.rcgs.jp/resource/PACKAGE0004994,RCGSa0001218|S4827,A36,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0010189,https://collection.rcgs.jp/resource/PACKAGE0010283,RCGSa0015061|S13334,C175,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0016471,,RCGSa0017557|S18934,P1.E5,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0005508,https://collection.rcgs.jp/resource/PACKAGE0006621,RCGSa0009498|S8899,C181,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0013706,,RCGSa0004396|S16520,V76,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0009262,,RCGSa0014107|S12510,A190,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0011159,https://collection.rcgs.jp/resource/PACKAGE0015401,RCGSa0020500|E-lb-101|S14252,A140,https://collection.rcgs.jp/resource/AGENT0002935,
https://collection.rcgs.jp/resource/ITEM0017052,https://collection.rcgs.jp/resource/PACKAGE0020273,RCGSa0018379,A133,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0016887,,RCGSa0018184,P3,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0021118,https://collection.rcgs.jp/resource/PACKAGE0023806,RCGSa0022638,D68,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0011460,https://collection.rcgs.jp/resource/PACKAGE0018164,RCGSa0017124|S15804,C175,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001290,https://collection.rcgs.jp/resource/PACKAGE0001258,S4897|RCGSa0001289,A39,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0009654,https://collection.rcgs.jp/resource/PACKAGE0009877,S12879|RCGSa0014337,D85,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0018829,,RCGSa0019868,P13,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0009380,https://collection.rcgs.jp/resource/PACKAGE0009624,RCGSa0013996|S12615,C136,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0003165,https://collection.rcgs.jp/resource/PACKAGE0003989,RCGSa0003170|S6726,C42,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0009370,https://collection.rcgs.jp/resource/PACKAGE0009614,RCGSa0013920|S12605,C136,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0001943,https://collection.rcgs.jp/resource/PACKAGE0000464,S5520|RCGSa0001944,A32,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0021075,,RCGSa0022664,C170,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0010017,https://collection.rcgs.jp/resource/PACKAGE0000351,S13173|RCGSa0014532,A31,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0015258,,RCGSa0017465|S18131,V189,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0017520,,RCGSa0018781,A196.E51,https://collection.rcgs.jp/resource/AGENT0000848,
https://collection.rcgs.jp/resource/ITEM0021434,https://collection.rcgs.jp/resource/PACKAGE0024098,RCGSa0022991,D92,https://collection.rcgs.jp/resource/AGENT0000848,
